rubronombre,n,nivel2,nivel1
FABRICACIÓN DE EQUIPAMIENTO E INSTRUMENTOS ÓPTICOS Y SUS ACCESORIOS,4,fabricacion,industria y deposito
INSTALACIONES PARA EDIFICIOS Y OBRAS DE INGENIERÍA CIVIL N.C.P.,4,otro,otro
"SERVICIOS DE ""FAST FOOD"" Y LOCALES DE VENTA DE COMIDAS Y BEBIDAS AL PASO",4,bebidas,alimentos
"Fabricación y reparación de ascensores, escaleras mecánicas, montacargas",4,fabricacion,industria y deposito
Venta al por mayor de productos textiles n.c.p.,4,mayorista,industria y deposito
"Molienda de cereales (excepto trigo), legumbres, otras preparaciones y moliendas n.c.p.",4,otro,otro
Fabricación de vidrios planos y templados,4,fabricacion,industria y deposito
Edición n.c.p.,4,otro,otro
"Fabricación de colchones, sommiers, almohadones y almohadas",4,fabricacion,industria y deposito
VENTA AL POR MAYOR EN SUPERMERCADOS MAYORISTAS DE ALIMENTOS,4,mayorista,industria y deposito
"FABRICACIÓN DE CALZADO DE MATERIALES N.C.P., EXCEPTO CALZADO DEPORTIVO Y ORTOPÉDICO",4,fabricacion,industria y deposito
Fabricación y reparación de máquinas y equipos de refrigeración,4,fabricacion,industria y deposito
PINTURA Y TRABAJOS DE DECORACIÓN,4,articulos_hogar,hogar y construccion
"Venta al por mayor de combustibles y lubricantes, excepto para automotores y gas en garrafas",4,mayorista,industria y deposito
FABRICACIÓN DE BOMBAS,4,fabricacion,industria y deposito
Obras Sociales por Servicios relacionados con la salud humana - Afiliados dentro de marco legal obligatorio,4,consultorio,salud
VENTA AL POR MAYOR DE ARTÍCULOS DE ESPARCIMIENTO Y DEPORTES,4,mayorista,industria y deposito
FABRICACIÓN DE MAQUINARIA PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS Y PARA OBRAS DE CONSTRUCCIÓN,4,fabricacion,industria y deposito
"Elaboración artesanal de alimentos sin local de atención, sin empleados",4,alimentos_otros,alimentos
Excavación y Demolición de edificios y sus partes,4,otro,otro
"PREPARACIÓN DE CONSERVAS DE FRUTAS, HORTALIZAS Y LEGUMBRES",4,verduleria,alimentos
"ESTUDIO DE MERCADO, REALIZACIÓN DE ENCUESTAS DE OPINIÓN PÚBLICA",4,oficina,servicios profesionales
Elaboración de bebidas n.c.p.,4,fabricacion,industria y deposito
CONFECCIÓN DE PRENDAS DE VESTIR PARA BEBÉS Y NIÑOS,4,ropa_infantil,indumentaria
SERVICIOS DE BANCA MAYORISTA,4,mayorista,industria y deposito
"Editorial de diarios, periódicos y revistas",4,otro,otro
ELABORACIÓN DE PASTAS ALIMENTARIAS SECAS,4,fabricacion,industria y deposito
"FABRICACIÓN DE CARTELES, SEÑALES E INDICADORES -ELÉCTRICOS O NO-",4,fabricacion,industria y deposito
"Elaboración de extractos, jarabes y concentrados",4,fabricacion,industria y deposito
FABRICACIÓN DE HIELO NATURAL Y JUGOS ENVASADOS PARA DILUIR,4,fabricacion,industria y deposito
Fabricación de aparatos y accesorios eléctricos de uso doméstico no clasificados en otra parte,4,fabricacion,industria y deposito
Universidad privada,4,otro,otro
"ELABORACIÓN DE EXTRACTOS, JARABES Y CONCENTRADOS",4,fabricacion,industria y deposito
SERVICIOS DE OPERADORES LOGÍSTICOS N.C.P.,4,otro,otro
Reciclamiento de desperdicios y desechos no metálicos,4,otro,otro
SERVICIO DE TRANSPORTE AUTOMOTOR DE MERCADERÍAS A GRANEL N.C.P.,4,transporte,servicios profesionales
Escuela de enseñanza privada pre-primaria,4,educacion,educacion
Fabricación de ladrillos y bloques,4,fabricacion,industria y deposito
ELABORACIÓN DE ALIMENTOS A BASE DE CEREALES,4,fabricacion,industria y deposito
Venta al por menor de herboristería en medianas y grandes superficie,4,dietetica,alimentos
Fabricación y armado de letreros y anuncios publicitarios,4,fabricacion,industria y deposito
Venta al por mayor en comisión o consignación de tabaco,4,mayorista,industria y deposito
Fabricación de envases de papel,4,fabricacion,industria y deposito
SERVICIOS DE INTERNACIÓN EN INSTITUCIONES RELACIONADAS CON LA SALUD MENTAL,4,otro,otro
VENTA AL POR MAYOR DE MEDIAS Y PRENDAS DE PUNTO,4,mayorista,industria y deposito
"SERVICIOS DE GERENCIAMIENTO DE EMPRESAS E INSTITUCIONES DE SALUD, SERVICIOS DE AUDITORIA Y MEDICINA LEGAL, SERVICIO DE ASESORAMIENTO FARMACÉUTICO",4,otro,otro
ELABORACIÓN DE ACEITES Y GRASAS VEGETALES REFINADOS,4,fabricacion,industria y deposito
FABRICACIÓN DE  MAQUINARIA Y EQUIPO DE USO GENERAL N.C.P.,4,fabricacion,industria y deposito
ENSEÑANZA DE CURSOS RELACIONADOS CON INFORMÁTICA,4,educacion,educacion
Fabricación de joyas y artículos conexos,4,fabricacion,industria y deposito
"Fabricación de mosaicos, baldosas, revestimientos de paredes y pisos (excluidos los cerámicos y plásticos)",4,fabricacion,industria y deposito
Servicios relacionados con espectáculos teatrales - por honorarios y comisiones,4,espectaculos,esparcimiento
Fabricación y armado de vehículos automotores,4,fabricacion,industria y deposito
VENTA AL POR MENOR DE MUEBLES USADOS,4,muebleria,hogar y construccion
FABRICACIÓN  DE PRODUCTOS DE CAUCHO N.C.P.,4,fabricacion,industria y deposito
Escuela de enseñanza privada. Primaria (EGB),4,educacion,educacion
"Fabricación de productos lácteos no clasificados en otra parte. (Incluye cremas, yogures, mantecas)",4,fabricacion,industria y deposito
VENTA AL POR MAYOR DE ARTÍCULOS PARA LA CONSTRUCCIÓN N.C.P.,4,mayorista,industria y deposito
Fabricación de abonos y fertilizantes (incluye los biológicos),4,fabricacion,industria y deposito
"Bar con música, sin espectáculo público, instalado fuera del perímetro y tramos establecidos por el Artículo 142° de la presente.-",4,bar_restaurante,gastronomia
FABRICACIÓN DE PRODUCTOS DE CAUCHO N.C.P.,4,fabricacion,industria y deposito
Venta al por mayor de muebles de metal y sus accesorios,4,mayorista,industria y deposito
"Fabricación de colas, adhesivos, aprestos y cemento (excepto los odontológicos) obtenidos de sustancias minerales y vegetales",3,fabricacion,industria y deposito
FABRICACIÓN DE PREMOLDEADAS PARA LA CONSTRUCCIÓN,3,fabricacion,industria y deposito
Producción de metales no ferrosos n.c.p. y sus semielaborados,3,otro,otro
Fabricación de productos diversos derivados del petróleo y del carbón excepto la refinación de petróleo,3,fabricacion,industria y deposito
"ENSEÑANZA PARA ADULTOS, EXCEPTO DISCAPACITADOS",3,educacion,educacion
Fabricación de tejidos de alambre,3,fabricacion,industria y deposito
"FABRICACIÓN DE MAQUINARIA Y EQUIPO DE OFICINA, EXCEPTO EQUIPO INFORMÁTICO",3,fabricacion,industria y deposito
"FABRICACIÓN DE ACUMULADORES, PILAS Y BATERÍAS PRIMARIAS",3,fabricacion,industria y deposito
FABRICACIÓN DE PRODUCTOS DE VIDRIO N.C.P.,3,fabricacion,industria y deposito
FABRICACIÓN DE PARTES DE CALZADO,3,fabricacion,industria y deposito
VENTA AL POR MAYOR DE TAPICES Y ALFOMBRAS DE MATERIALES TEXTILES,3,mayorista,industria y deposito
VENTA AL POR MAYOR DE SUELAS Y AFINES,3,mayorista,industria y deposito
Molienda de trigo,3,otro,otro
Obras Sociales por Servicios relacionados con la salud humana - Afiliados Adherentes.,3,consultorio,salud
SERVICIOS DE MANIPULACIÓN DE CARGA EN EL ÁMBITO TERRESTRE,3,otro,otro
"HINCADO DE PILOTES, CIMENTACIÓN Y OTROS TRABAJOS DE HORMIGÓN ARMADO",3,otro,otro
"VENTA AL POR MAYOR DE PAPELES PARA PARED, REVESTIMIENTO PARA PISOS DE GOMA, PLÁSTICO Y TEXTILES,  Y ARTÍCULOS SIMILARES PARA LA DECORACIÓN",3,mayorista,industria y deposito
MOLIENDA DE TRIGO,3,otro,otro
SERVICIOS GEOLÓGICOS Y DE PROSPECCIÓN,3,otro,otro
VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE SEMILLAS,3,mayorista,industria y deposito
SERVICIOS DE ALOJAMIENTO EN PENSIONES,3,turismo,servicios profesionales
Fabricación de plaguicidas (incluye los biológicos),3,fabricacion,industria y deposito
"POR CADA ESPACIO DESTINADO A GARAGES, PLAYAS DE ESTACIONAMIENTO, GUARDACOCHES, UBICADOS DENTRO DEL PERÍMETRO COMPRENDIDO POR LAS CALLES: FIGUEROA ALCORTA, MARCELO T. DE ALVEAR, AV. PUEYRREDÓN, MANUEL ESTRADA, AV. POETA LUGONES, BV PERÓN, SARMIENTO, HUMBER",3,otro,otro
FABRICACIÓN DE COMPONENTES ELECTRÓNICOS,3,fabricacion,industria y deposito
FABRICACIÓN DE MEDICAMENTOS DE USO VETERINARIO,3,fabricacion,industria y deposito
"Elaboración, envasado y conservación de jugos de frutas naturales o artificiales",3,otro,otro
SERVICIOS DE COOPERATIVAS CUANDO REALIZAN VARIAS ACTIVIDADES,3,otro,otro
"INSTALACIÓN DE SISTEMAS DE ILUMINACIÓN, CONTROL Y SEÑALIZACIÓN ELÉCTRICA PARA EL TRANSPORTE",3,transporte,servicios profesionales
"ELABORACIÓN DE FRUTAS, HORTALIZAS Y LEGUMBRES CONGELADAS",3,fabricacion,industria y deposito
Distribución por mayor de diarios y revistas,3,mayorista,industria y deposito
ASERRADO Y CEPILLADO DE MADERA IMPLANTADA,3,otro,otro
FABRICACIÓN DE APARATOS DE USO DOMÉSTICO N.C.P.,3,fabricacion,industria y deposito
Servicio de recolección y transporte de residuos no convencionales (patógenos - industriales - peligrosos - restos de obras y demoliciones),3,transporte,servicios profesionales
Colocación de cubiertas asfálticas y techos,3,repuestos,automotor
SERVICIOS DE TRANSPORTE DE CAUDALES Y OBJETOS DE VALOR,3,transporte,servicios profesionales
Elaboración de especies,3,fabricacion,industria y deposito
"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPOS E IMPLEMENTOS DE USO EN IMPRENTAS, ARTES GRÁFICAS Y ACTIVIDADES CONEXAS",3,mayorista,industria y deposito
Empresa de pompas fúnebres (servicios por abono),3,otro,otro
"Venta al por mayor de lanas, cueros y frutos del país",3,mayorista,industria y deposito
VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE COMBUSTIBLES,3,mayorista,industria y deposito
Venta al por mayor de sustancias químicas industriales y materias primas para la elaboración de plásticos,3,mayorista,industria y deposito
"Fabricación de envases metálicos, incluyendo bronce, latón, aluminio, hojalata",3,fabricacion,industria y deposito
Enseñanza privada (únicamente planes oficiales),3,educacion,educacion
"Procesadores de papas (peladero, lavadero, incluyendo elaboración de puré, harina y escamas)",3,fabricacion,industria y deposito
"Fabricación y reparación de básculas, balanzas y dinamómetros, excepto los científicos para uso de laboratorio",3,fabricacion,industria y deposito
FABRICACIÓN DE ABERTURAS Y ESTRUCTURAS DE MADERA PARA LA CONSTRUCCIÓN,3,fabricacion,industria y deposito
INVESTIGACIÓN Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS MÉDICAS,3,otro,otro
Fabricación y reparación de grúas y equipamiento de transporte mecánico,3,fabricacion,industria y deposito
RECUPERACIÓN DE MATERIALES Y DESECHOS NO METÁLICOS,3,otro,otro
Empresa de pompas fúnebres (cochería servicios fúnebres),3,otro,otro
ELABORACIÓN DE CACAO Y CHOCOLATE,3,fabricacion,industria y deposito
SERVICIOS DE CALL CENTER,3,otro,otro
Fabricación de tanques y depósitos metálicos,3,fabricacion,industria y deposito
Escuela de enseñanza privada. Terciaria,3,educacion,educacion
Producción de huevos,3,otro,otro
"FABRICACIÓN DE PINTURAS, BARNICES Y PRODUCTOS DE REVESTIMIENTO SIMILARES, TINTAS DE IMPRENTA Y MASILLAS",3,fabricacion,industria y deposito
"VENTA AL POR MAYOR DE ARTÍCULOS DE MARROQUINERÍA,  PARAGUAS Y PRODUCTOS SIMILARES N.C.P.",3,mayorista,industria y deposito
"DESTILACIÓN, RECTIFICACIÓN Y MEZCLA DE BEBIDAS ESPIRITOSAS",3,bebidas,alimentos
"FABRICACIÓN DE FRAZADAS, MANTAS, PONCHOS, COLCHAS, COBERTORES, ETC.",3,fabricacion,industria y deposito
Elaboración de jugos envasados para diluir,3,fabricacion,industria y deposito
FABRICACIÓN DE MAQUINARIA METALÚRGICA,3,fabricacion,industria y deposito
RECAUCHUTADO Y RENOVACIÓN DE CUBIERTAS,3,repuestos,automotor
"FABRICACIÓN DE MAQUINARIA PARA LA ELABORACIÓN DE ALIMENTOS, BEBIDAS Y TABACO",3,fabricacion,industria y deposito
Fabricación de artículos de cemento y fibrocemento (excepto ladrillos),3,fabricacion,industria y deposito
"VENTA AL POR MAYOR DE ARTÍCULOS DE MARROQUINERÍA, PARAGUAS Y PRODUCTOS SIMILARES N.C.P.",3,mayorista,industria y deposito
DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA,3,otro,otro
Elaboración de té,3,fabricacion,industria y deposito
FABRICACIÓN DE MAQUINARIA Y EQUIPO DE USO AGROPECUARIO Y FORESTAL,3,fabricacion,industria y deposito
Escuela de enseñanza privada. Secundaria (Polimodal),3,educacion,educacion
Fabricación de artículos de madera en tornerías,3,fabricacion,industria y deposito
"Fabricación de heladeras, freezers, lavarropas y secarropas",3,fabricacion,industria y deposito
Revoque y enyesado de paredes y cielorrasos,3,otro,otro
Fabricación de materias químicas inorgánicas básicas n.c.p.,3,fabricacion,industria y deposito
VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE MADERA Y MATERIALES PARA LA CONSTRUCCIÓN,3,mayorista,industria y deposito
"Fabricación de lápices, lapiceras, bolígrafos, plumas estilográficas y artículos similares para oficina",3,fabricacion,industria y deposito
Servicios profesionales relacionados con la agronomía (sociedad de profesionales),3,otro,otro
Venta y distribución por mayor en comisión o consignación de productos y subproductos ganaderos y agrícolas n.c.p.,3,mayorista,industria y deposito
Producción y distribución de gases no clasificados en otra parte,3,otro,otro
"Perforación y sondeo (excepto perforación de pozos de petróleo, de gas, de minas e hidráulicos y prospección de yacimientos de petróleo).",3,otro,otro
Fabricación de equipos y aparatos de comunicaciones,3,fabricacion,industria y deposito
"VENTA AL POR MAYOR DE PRODUCTOS INTERMEDIOS, DESPERDICIOS Y DESECHOS N.C.P.",3,mayorista,industria y deposito
FABRICACIÓN DE CALZADO DEPORTIVO,3,fabricacion,industria y deposito
FABRICACIÓN DE RECIPIENTES DE MADERA,3,fabricacion,industria y deposito
"Fabricación y reparación de maquinaria y equipo para la industria minera, petrolera y canteras",3,fabricacion,industria y deposito
SERVICIOS DE CALL CENTER N.C.P.,3,otro,otro
FABRICACIÓN DE JABONES Y DETERGENTES,3,fabricacion,industria y deposito
"ELABORACIÓN DE BEBIDAS GASEOSAS, EXCEPTO SODA",3,fabricacion,industria y deposito
Fabricación de lámparas y tubos eléctricos,2,fabricacion,industria y deposito
"VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE  MAQUINARIA, EQUIPO PROFESIONAL INDUSTRIAL Y COMERCIAL, EMBARCACIONES Y AERONAVES",2,mayorista,industria y deposito
FABRICACIÓN Y ELABORACIÓN DE VIDRIO PLANO,2,fabricacion,industria y deposito
SERVICIOS DE ALOJAMIENTO POR HORA,2,turismo,servicios profesionales
FABRICACIÓN DE MAQUINARIA Y EQUIPO DE USO ESPECIAL N.C.P.,2,fabricacion,industria y deposito
VENTA AL POR MAYOR DE ABERTURAS,2,mayorista,industria y deposito
SERVICIOS DE GESTIÓN ADUANERA REALIZADOS POR DESPACHANTES DE ADUANA,2,otro,otro
"Motel categoría 1 y 2 estrellas. Con un mínimo por cada habitación de $ 35,75.-",2,otro,otro
VENTA AL POR MAYOR DE LIBROS Y PUBLICACIONES,2,mayorista,industria y deposito
"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPOS E IMPLEMENTOS DE USO EN LA INDUSTRIA DEL PLÁSTICO Y DEL CAUCHO",2,mayorista,industria y deposito
SERVICIOS DE CONTRATISTAS DE MANO DE OBRA AGRÍCOLA,2,otro,otro
SERVICIOS DE AGENTES DE MERCADO ABIERTO PUROS,2,otro,otro
FABRICACIÓN DE ACEITES Y GRASAS DE ORIGEN ANIMAL,2,fabricacion,industria y deposito
Perforación de pozo negro,2,otro,otro
ASERRADO Y CEPILLADO DE MADERA NATIVA,2,otro,otro
"FABRICACIÓN DE COJINETES, ENGRANAJES, TRENES DE ENGRANAJE Y PIEZAS DE TRANSMISIÓN",2,fabricacion,industria y deposito
Fabricación de Transmisores de Radio y Televisión y aparatos de telefonía y telegrafía con hilos,2,fabricacion,industria y deposito
"Fundición en hornos y acerías. Producción de lingotes, planchas o barras",2,otro,otro
"VENTA AL POR MAYOR DE FRUTAS, LEGUMBRES Y CEREALES",2,mayorista,industria y deposito
Fabricación de remolques y semirremolques,2,fabricacion,industria y deposito
VENTA AL POR MAYOR DE ARTÍCULOS DE VIDRIO,2,mayorista,industria y deposito
"Venta al por mayor en comisión o consignación de papel, cartón, libros, revistas, diarios, materiales de embalaje y artículos de librería",2,mayorista,industria y deposito
"Fabricación y reparación de cocinas, calefones, estufas y calefactores de uso doméstico, no eléctricos",2,fabricacion,industria y deposito
Venta y distribución por mayor en comisión o consignación de cereales,2,mayorista,industria y deposito
"Elaboración de pescados de mar, crustáceos y otros productos marinos envasado y conservación",2,fabricacion,industria y deposito
VENTA POR MAYOR DE BOLSAS Y/O PRODUCTOS DE POLIETILENO,2,mayorista,industria y deposito
Fabricación de accesorios de vestir excepto de cuero,2,fabricacion,industria y deposito
FABRICACIÓN DE GASES INDUSTRIALES Y MEDICINALES COMPRIMIDOS O LICUADOS,2,fabricacion,industria y deposito
"VENTA AL POR MAYOR DE PRODUCTOS INTERMEDIOS, DESPERDICIOS Y DESECHOS DE VIDRIO, CAUCHO, GOMA Y QUÍMICOS N.C.P.",2,mayorista,industria y deposito
Servicio de recolección y transporte de residuos convencionales (domiciliarios - orgánicos e inorgánicos reciclables - generados por actividad comercial o industrial que no deriven de procesos productivos),2,transporte,servicios profesionales
FABRICACIÓN DE BOLSAS DE MATERIALES TEXTILES PARA PRODUCTOS A GRANEL,2,fabricacion,industria y deposito
Servicios agropecuarios no clasificados en otra parte,2,otro,otro
FABRICACIÓN DE ARTÍCULOS DE PAPEL Y CARTÓN DE USO DOMÉSTICO E HIGIÉNICO SANITARIO,2,fabricacion,industria y deposito
FABRICACIÓN DE EQUIPOS DE COMUNICACIONES Y TRANSMISORES DE RADIO Y TELEVISIÓN,2,fabricacion,industria y deposito
VENTA AL POR MAYOR DE INSUMOS AGROPECUARIOS DIVERSOS,2,mayorista,industria y deposito
FABRICACIÓN DE EQUIPO DE CONTROL DE PROCESOS INDUSTRIALES,2,fabricacion,industria y deposito
"Transporte privado n.c.p. (excepto taxis, remis, transporte escolar, alquiler de auto)",2,transporte,servicios profesionales
ELABORACIÓN DE AZÚCAR,2,fabricacion,industria y deposito
"Venta al por mayor en comisión o consignación de maquinaria, equipo profesional industrial y comercial, embarcaciones y aeronaves",2,mayorista,industria y deposito
REPARACIÓN Y MANTENIMIENTO DE MAQUINARIA Y EQUIPO DE USO AGROPECUARIO Y FORESTAL,2,otro,otro
FABRICACIÓN DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y METALES NO FERROSOS N.C.P. Y SUS SEMIELABORADOS,2,fabricacion,industria y deposito
FABRICACIÓN DE VEHÍCULOS AUTOMOTORES,2,fabricacion,industria y deposito
"ELABORACIÓN DE HORTALIZAS Y LEGUMBRES DESHIDRATADAS O DESECADAS, PREPARACIÓN N.C.P. DE HORTALIZAS Y LEGUMBRES",2,fabricacion,industria y deposito
"Fabricación de maderas terciadas, enchapadas o conglomeradas, tableros o paneles",2,fabricacion,industria y deposito
FABRICACIÓN DE ACCESORIOS DE VESTIR EXCEPTO DE CUERO,2,fabricacion,industria y deposito
Salas velatorias,2,otro,otro
"Alquiler de equipo de transporte para vía acuática, sin operarios ni tripulación",2,transporte,servicios profesionales
OPERADORES DE TELEVISIÓN POR SUSCRIPCIÓN.,2,otro,otro
FABRICACIÓN  DE EQUIPOS DE COMUNICACIONES Y TRANSMISORES DE RADIO Y TELEVISIÓN,2,fabricacion,industria y deposito
SERVICIO DE TRANSPORTE AUTOMOTOR INTERURBANO NO REGULAR DE PASAJEROS,2,transporte,servicios profesionales
"Fabricación de objetos de barro, loza, porcelana y cerámica n.c.p. (excepto refractarios, ladrillos y revestimientos para pisos y paredes)",2,fabricacion,industria y deposito
Cámaras frigoríficas y lugares destinados a la conservación de pieles.,2,otro,otro
Fabricación y armado de relojes (incluye Fabricación de piezas y cajas para relojes y mecanismos similares),2,fabricacion,industria y deposito
FABRICACIÓN EN INDUSTRIAS BÁSICAS DE PRODUCTOS DE HIERRO Y ACERO N.C.P.,2,fabricacion,industria y deposito
SERVICIOS DE INFORMÁTICA N.C.P.,2,tecnologia,comercio general
SERVICIOS DE ALQUILER  DE CONSULTORIOS MÉDICOS,2,consultorio,salud
"PREPARACIÓN Y MOLIENDA DE LEGUMBRES Y CEREALES N.C.P., EXCEPTO TRIGO Y ARROZ Y MOLIENDA HÚMEDA DE MAÍZ",2,otro,otro
Fabricación y reparación de máquinas de coser y tejer,2,fabricacion,industria y deposito
FORMACIÓN DE POSGRADO,2,otro,otro
FABRICACIÓN DE JUEGOS Y JUGUETES,2,fabricacion,industria y deposito
SERVICIOS INDUSTRIALES PARA LA INDUSTRIA CONFECCIONISTA,2,otro,otro
MATANZA DE GANADO EXCEPTO EL BOVINO Y PROCESAMIENTO DE SU CARNE,2,otro,otro
"FABRICACIÓN DE ESCOBAS, CEPILLOS Y PINCELES",2,fabricacion,industria y deposito
"Fabricación de herramientas manuales y sus accesorios (para uso general, plomería, albañilería, , incluyendo las de campo y jardín)",2,fabricacion,industria y deposito
Fabricación de espejos y vitrales,2,fabricacion,industria y deposito
SERVICIO DE TRANSPORTE AUTOMOTOR TURISTICO DE PASAJEROS,2,transporte,servicios profesionales
FABRICACIÓN DE TEJIDOS DE ALAMBRE,2,fabricacion,industria y deposito
SERVICIOS DE INFORMACIÓN N.C.P.,2,otro,otro
"Colocación y pulido de pisos y revestimientos de mosaicos, mármol, cerámicos y similares",2,otro,otro
"VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE MINERALES, METALES Y PRODUCTOS QUÍMICOS INDUSTRIALES",2,mayorista,industria y deposito
FABRICACIÓN DE  AUTOPARTES DE CAUCHO EXCEPTO CÁMARAS Y CUBIERTAS,2,fabricacion,industria y deposito
"DEPÓSITOS , ALMACENAMIENTO Y VENTA  DE  PIROTECNIA, PÓLVORA, ARMAMENTO, EXPLOSIVOS",2,deposito,industria y deposito
"SERVICIO DE TRANSPORTE AUTOMOTOR INTERURBANO Y SUBURBANO REGULAR DE PASAJEROS, EXCEPTO TRANSPORTE INTERNACIONAL",2,transporte,servicios profesionales
ELABORACIÓN Y MOLIENDA DE HIERBAS AROMÁTICAS Y ESPECIAS,2,otro,otro
Servicios de agencias de venta de entradas,2,otro,otro
FABRICACIÓN DE ABONOS Y COMPUESTOS DE NITRÓGENO,2,fabricacion,industria y deposito
"FABRICACIÓN DE COSMÉTICOS, PERFUMES Y  PRODUCTOS DE HIGIENE Y TOCADOR",2,fabricacion,industria y deposito
VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE PRODUCTOS AGRÍCOLAS N.C.P.,2,mayorista,industria y deposito
"Holding de inversión, actividades de participación, renta y venta de acciones o titulos valores.",2,otro,otro
ELABORACIÓN DE PRODUCTOS LÁCTEOS N.C.P.,2,fabricacion,industria y deposito
FABRICACIÓN DE MEDICAMENTOS PARA USO VETERINARIO,2,fabricacion,industria y deposito
Fabricación de cigarrillos,2,fabricacion,industria y deposito
CULTIVO DE HORTALIZAS DE HOJA Y DE OTRAS HORTALIZAS FRESCAS,2,verduleria,alimentos
SERVICIOS DE ATENCIÓN A PERSONAS MINUSVÁLIDAS CON ALOJAMIENTO,2,turismo,servicios profesionales
Fabricación de instrumentos de óptica,2,fabricacion,industria y deposito
Venta al por mayor de pieles y cueros,2,mayorista,industria y deposito
Fabricación de hielo natural y jugos envasados para diluir,2,fabricacion,industria y deposito
PRODUCCIÓN DE HUEVOS,2,otro,otro
SERVICIOS DE INTERMEDIACIÓN FINANCIERA REALIZADA POR LAS COMPAÑÍAS FINANCIERAS,2,cobranzas,servicios profesionales
"Fabricación de cepillos, pinceles y escobas",2,fabricacion,industria y deposito
"Hotel categoría 5 estrellas. Con un mínimo por cada habitación de $42,75.-",2,turismo,servicios profesionales
"FABRICACIÓN DE MALETAS, BOLSOS DE MANO Y SIMILARES, ARTÍCULOS DE TALABARTERÍA Y ARTÍCULOS DE CUERO N.C.P.",2,fabricacion,industria y deposito
"Fabricación de juguetes, juegos y calzados plásticos",2,fabricacion,industria y deposito
"FABRICACIÓN DE INSECTICIDAS, PLAGUICIDAS Y PRODUCTOS QUÍMICOS DE USO AGROPECUARIO",2,fabricacion,industria y deposito
Fabricación de otros productos de tabaco,2,fabricacion,industria y deposito
CULTIVO DE PLANTAS ORNAMENTALES,2,vivero,hogar y construccion
Distribución y venta al por mayor de petróleo y sus derivados (excepto combustibles),2,mayorista,industria y deposito
"VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE PAPEL, CARTÓN, LIBROS, REVISTAS, DIARIOS, MATERIALES DE EMBALAJE Y ARTÍCULOS DE LIBRERÍA",2,mayorista,industria y deposito
FABRICACIÓN DE PAPEL ONDULADO Y ENVASES DE PAPEL,2,fabricacion,industria y deposito
Fabricación de revestimientos cerámicos para pisos y paredes,2,fabricacion,industria y deposito
Fabricación de objetos de platería y enchapados,2,fabricacion,industria y deposito
VENTA AL POR MAYOR DE PRODUCTOS TEXTILES N.C.P,2,mayorista,industria y deposito
"ELABORACIÓN DE JUGOS NATURALES Y SUS CONCENTRADOS, DE FRUTAS, HORTALIZAS Y LEGUMBRES",2,fabricacion,industria y deposito
Fabricación de ropa para cama y mantelería,1,fabricacion,industria y deposito
ALQUILER DE EQUIPO DE TRANSPORTE N.C.P. SIN CONDUCTOR NI OPERARIOS,1,transporte,servicios profesionales
VENTA AL POR MAYOR DE EQUIPO PROFESIONAL Y CIENTÍFICO E INSTRUMENTOS DE MEDIDA Y DE CONTROL N.C.P.,1,mayorista,industria y deposito
ELABORACIÓN DE MARGARINAS Y GRASAS VEGETALES COMESTIBLES SIMILARES,1,fabricacion,industria y deposito
SERVICIOS DE APOYO PECUARIOS N.C.P.,1,otro,otro
SERVICIOS DE CAJAS DE PREVISIÓN SOCIAL PERTENECIENTES A ASOCIACIONES PROFESIONALES,1,otro,otro
Fabricación y reparación de maquinaria y equipo para la industria del papel y las artes gráficas,1,fabricacion,industria y deposito
SERVICIO DE TRANSPORTE AEREO DE PASAJEROS ,1,transporte,servicios profesionales
"EXPLOTACIÓN DE CRIADEROS DE PECES, GRANJAS PISCÍCOLAS Y OTROS FRUTOS ACUÁTICOS (ACUICULTURA)",1,otro,otro
FABRICACIÓN DE ROPA DE CAMA Y MANTELERÍA,1,fabricacion,industria y deposito
"LAMINACIÓN Y ESTIRADO. PRODUCCIÓN DE LINGOTES, PLANCHAS O BARRAS FABRICADAS POR OPERADORES INDEPENDIENTES",1,otro,otro
Fabricación de material de transporte no clasificado en otra parte,1,fabricacion,industria y deposito
"Fabricación de materias químicas orgánicas básicas n.c.p. (Incluye la fabricación de alcoholes excepto el etílico, sustancias químicas para elaboración de sustancias plásticas, )",1,fabricacion,industria y deposito
"ELABORACIÓN DE CERVEZA, BEBIDAS MALTEADAS Y MALTA",1,fabricacion,industria y deposito
Fabricación de lentes y artículos oftálmicos,1,fabricacion,industria y deposito
HOSPEDAJE DE DATOS,1,turismo,servicios profesionales
"Fabricación de artefactos sanitarios de barro, loza, porcelana y cerámica",1,fabricacion,industria y deposito
