rubronombre,n,nivel2,nivel1
"CONSTRUCCIÓN, REFORMA Y REPARACIÓN DE OBRAS HIDRÁULICAS",6,otro,otro
"Fraccionamiento, distribución y venta por mayor de alcoholes",6,mayorista,industria y deposito
SERVICIOS DE ASEGURADORAS DE RIESGO DE TRABAJO (ART),6,otro,otro
"Elaboración y envasado de dulces, mermeladas y jaleas",6,otro,otro
"VENTA AL POR MAYOR DE MUEBLES E INSTALACIONES PARA LA INDUSTRIA, EL COMERCIO Y LOS SERVICIOS N.C.P.",6,mayorista,industria y deposito
VENTA AL POR MAYOR DE ARTÍCULOS DE ÓPTICA Y DE FOTOGRAFÍA,6,mayorista,industria y deposito
"Fabricación y reparación de maquinaria para la elaboración y envases de productos alimenticios, bebidas y tabaco",6,fabricacion,industria y deposito
VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRÍCOLAS Y DE LA SILVICULTURA N.C.P.,6,mayorista,industria y deposito
Fabricación de cortinas. Cortinerías,6,fabricacion,industria y deposito
"Hostería categoría 3 estrellas. Con un mínimo por cada habitación de $ 17,75",6,turismo,servicios profesionales
Compra Venta de Bienes Inmuebles,6,otro,otro
ACTIVIDADES CONEXAS AL PROCESAMIENTO Y HOSPEDAJE DE DATOS N.C.P.,6,turismo,servicios profesionales
SERVICIOS DE CASAS Y AGENCIAS DE CAMBIO,6,cobranzas,servicios profesionales
ELABORACIÓN DE HORMIGÓN,6,fabricacion,industria y deposito
FABRICACIÓN DE ARTÍCULOS DE LONA Y SUCEDÁNEOS DE LONA,6,fabricacion,industria y deposito
Fabricación de jabones y detergentes,6,fabricacion,industria y deposito
EMISIÓN Y RETRANSMISIÓN DE RADIO,6,otro,otro
RECUPERACIÓN DE MATERIALES Y DESECHOS METÁLICOS,6,otro,otro
"FABRICACIÓN DE MUEBLES Y PARTES DE MUEBLES, EXCEPTO LOS QUE SON PRINCIPALMENTE DE MADERA (METAL, PLÁSTICO, ETC.)",6,fabricacion,industria y deposito
FABRICACIÓN DE PRODUCTOS MINERALES NO METÁLICOS N.C.P.,6,fabricacion,industria y deposito
VENTA AL POR MENOR DE COMBUSTIBLE n.c.p COMPRENDIDOS EN LEY 23966  PARA VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS EXCEPTO LA REALIZADA POR REFINERIAS,6,venta_vehiculos,automotor
Mecánico dental,6,otro,otro
MOVIMIENTO DE SUELOS Y PREPARACIÓN DE TERRENOS PARA OBRAS,5,otro,otro
POMPAS FUNEBRES Y SERVICIOS CONEXOS,5,otro,otro
Elaboración de aceites y grasas animales no comestibles,5,fabricacion,industria y deposito
Fabricación de envases de cartón,5,fabricacion,industria y deposito
INVESTIGACIÓN  Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS MÉDICAS,5,otro,otro
Desarmaderos de autos y venta al por menor de sus partes. Repuestos y accesorios usados,5,repuestos,automotor
FABRICACIÓN  DE EQUIPO ELÉCTRICO N.C.P.,5,fabricacion,industria y deposito
Transporte interurbano de pasajeros,5,transporte,servicios profesionales
